00:23:eb:3a:28:bf, 48, sMobileNet, -77, -77, -78, -77, -75, -82, -82, -76, -71, -70, -70, -70, -70, -71, -72, -75, -73, -73, -75, -75, -74, -75, -75, -77, -76, -76, -76, -72, -77, -75, -75, -76, -78, -78, -76, -76, -77, -76, -75, -76, -76, -76, -76, -76, -77, -73, -74, -71, -72, -72, -72, -71, -70, -70, -71, -71, -71, -72, -73, -72, -71, -76, -71, -72, -73, -72, -72, -71, -72, -70, -71, -72, -71, -72, -74, -71, -71, -71, -72, -71, -71, -71, -72, -73, -73, -71, -72, -72, -70, -72, -70, -72, -71, -69, -71, -70, -70, -70, -71, -70, -71, -71, -71, -71, -71, -70, -71, -70, -71, -71, -71, -71, -71, -71, -71, -70, -70, -71, -71, -71, -71, -71, -70, -71, -71, -71, -70, -71, -71, -71, -72, -70, -68, -71, -71, -71, -70, -70, -71, -70, -72, -70, -71, -71, -70, -70, -74, -71, -70, -70, -73, -74, -70, -72, -70, -70, -71, -71, -71, -72, -72, -72, -72, -72, -72, -72, -71, -71, -71, -71, -73, -72, -71, -72, -70, -71, -72, -72, -68, -74, -74, -71, -70, -70, -70, -70, -70, -69, -69, -71, -75, -71, -71, -71, -72, -71, -72, -69, -71, -71, 
54:e6:fc:9a:43:c8, 4, lab_smart_signage, -86, -82, -82, -82, -86, -83, -83, -83, -83, -80, -76, -76, -76, -78, -78, -84, -82, -82, -84, -84, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, -85, -85, -86, -85, -84, -84, -84, -84, -84, -80, -80, -82, -82, -82, -87, -87, -87, -87, -87, -74, -83, -74, -76, -80, -77, -80, -82, -82, -77, -82, -78, -80, -80, -80, -80, -80, -83, -79, -79, -79, -79, -79, -81, -80, -80, -80, -80, -80, -83, -74, -79, -76, -82, -83, -78, -79, -79, -79, -76, -76, -76, -73, -74, -73, -78, -79, -81, -79, -74, -74, -79, -79, -78, -78, -81, -81, -81, -81, -80, -80, -80, -81, -81, -78, -78, -78, -78, -78, -78, -78, -78, -80, -78, -78, -78, -78, -78, -78, -80, -80, -80, -80, -80, -80, -84, -84, -84, -84, -84, -77, -77, -77, -77, -77, -80, -81, -77, -77, -81, -83, -83, -83, -83, -83, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, -82, -84, -84, -84, -84, -84, -84, -79, -85, -85, -85, -86, -83, -78, -84, -80, -77, -80, -80, -78, -78, -78, -78, -75, -73, -83, -83, 
90:f6:52:43:1c:ae, 11, CloudFleet, -87, -87, -88, -86, -86, -86, -86, -86, -86, -83, -83, -80, -85, -80, -80, -80, -80, -80, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, 0, 0, 0, -83, -77, -77, -77, -84, -82, -85, -85, -85, -85, -85, -84, -77, -77, -77, -77, -77, -77, -77, -77, -77, 0, 0, 0, 0, 0, 0, -84, -84, -83, -88, -88, -88, -88, -88, -88, -87, -87, -87, -87, -87, -87, -87, -87, -87, 0, 0, -83, -83, -83, -83, -85, -76, -76, -85, -85, -85, -79, -80, -80, -80, -81, -79, -80, -75, -77, -81, -73, -76, -77, -77, -88, -85, -85, -82, -82, -84, -80, -80, -80, -84, -86, -86, -81, -82, -81, -81, -81, -86, -86, -86, -86, -83, -84, -80, -80, -80, -80, -81, -83, -85, -85, -80, -81, -81, -87, -86, -86, -86, -86, -81, -77, -77, -79, -79, -75, -82, -82, -82, -87, -81, -82, -82, -82, -82, -81, -78, -78, -78, -80, -83, -83, -83, -75, -75, -75, -75, -75, -75, -75, -84, -81, -83, -84, -85, -81, -81, -81, -81, -81, -81, -82, -84, -84, -77, -84, -83, -79, -84, -83, -81, -84, -79, -79, -79, -75, -81, -72, -72, 
74:d0:2b:5d:a8:a8, 1, CWBAP2, -75, -76, -70, -68, -71, -66, -80, -69, -66, -72, -76, -77, -74, -69, -76, -72, -69, -62, -73, -72, -72, -72, -70, -66, -69, -67, -72, -73, -74, -73, -75, -69, -69, -64, -68, -75, -69, -64, -68, -67, -68, -69, -66, -63, -74, -68, -65, -69, -68, -68, -69, -68, -62, -69, -70, -74, -69, -75, -62, -68, -69, -64, -71, -79, -64, -75, -71, -75, -65, -65, -75, -67, -66, -69, -69, -73, -73, -69, -67, -75, -70, -76, -64, -69, -77, -69, -72, -70, -67, -73, -73, -75, -75, -69, -68, -69, -89, -71, -65, -67, -66, -67, -75, -74, -69, -67, -68, -63, -68, -73, -73, -65, -76, -70, -70, -65, -73, -68, -64, -75, -69, -63, -73, -69, -66, -75, -70, -73, -68, -66, -73, -73, -65, -75, -68, -68, -68, -61, -73, -68, -67, -68, -62, -63, -67, -65, -72, -57, -71, -65, -66, -62, -69, -70, -66, -68, -63, -71, -65, -72, -72, -66, -72, -67, -64, -73, -75, -69, -72, -72, -62, -61, -72, -69, -71, -71, -64, -74, -66, -71, -70, -69, -75, -70, -65, -76, -76, -71, -63, -76, -70, -66, -66, -61, -73, -70, -66, -62, -65, -67, 
00:1d:aa:00:a6:30, 11, hiway, -77, -71, -75, -78, -73, -78, -77, -79, -79, -81, -76, -78, -76, -78, -74, -78, -79, -77, -79, -81, -80, -81, -76, -75, -75, -76, -80, -81, -80, -78, -78, -79, -79, -81, -80, -75, -75, -77, -81, -76, -76, -73, -76, -77, -75, -76, -80, -80, -76, -81, -81, -75, -77, -75, -80, -80, -75, -79, -75, -76, -80, -79, -81, -74, -76, -76, -76, -75, -75, -75, -73, -73, -76, -80, -79, -75, -76, -76, -75, -80, -76, -75, -76, -77, -78, -80, -80, -76, -81, -80, -75, -75, -79, -79, -80, -78, -76, -81, -77, -75, -80, -75, -75, -81, -75, -79, -74, -74, -81, -79, -77, -79, -75, -76, -72, -79, -79, -84, -73, -72, -73, -69, -80, -80, -74, -78, -75, -77, -79, -75, -81, -77, -79, -79, -84, -78, -79, -78, -79, -83, -78, -75, -81, -82, -86, -79, -81, -79, -77, -81, -78, -80, -79, -76, -77, -76, -76, -77, -80, -76, -81, -76, -80, -80, -81, -76, -81, -79, -78, -76, -76, -81, -76, -76, -76, -76, -76, -76, -80, -76, -81, -79, -72, -80, -80, -80, -76, -80, -75, -77, -77, -79, -74, -79, -76, -79, -76, -74, -78, -78, 
64:66:b3:1a:e8:d8, 10, dannyCrane, -71, -72, -78, -74, -73, -71, -85, -76, -76, -77, -78, -74, -78, -75, -74, -77, -74, -81, -81, -82, -82, -82, -82, -82, -82, -82, -82, -82, -78, -80, -82, -86, -86, -78, -80, -79, -81, -81, -80, -80, -81, -79, -81, -83, -80, -80, -81, -80, -80, -82, -85, -80, -80, -82, -82, -82, -79, -81, -81, -83, -83, -80, -82, -82, -81, -79, -79, -86, -81, -79, -79, -86, -86, -83, -83, -79, -79, -79, -79, -79, -79, -79, -79, -80, -86, -86, -80, -88, -88, -88, -80, -83, -82, -83, -83, -83, -83, -87, -87, -80, -81, -82, -80, -82, -86, -85, -85, -80, -83, -83, -80, -81, -81, -81, -86, -84, -80, -80, -80, -79, -81, -85, -79, -87, -82, -82, -81, -80, -86, -83, -83, -83, -83, -81, -82, -85, -79, -79, -77, -75, -75, -77, -76, -81, -81, -78, -78, -76, -82, -76, -75, -83, -77, -77, -74, -78, -78, -78, -73, -74, -82, -79, -79, -84, -82, -80, -85, -85, -84, -75, -75, -73, -77, -78, -79, -74, -81, -78, -76, -74, -73, -75, -79, -78, -79, -73, -79, -75, -81, -79, -74, -80, -75, -79, -74, -79, -75, -77, -78, -81, 
d8:fe:e3:ca:9b:df, 11, SaneFor, -88, -88, -88, -88, -88, -88, -88, -88, 0, 0, 0, 0, 0, 0, 0, 0, -89, -89, -89, -89, -89, -89, -89, -89, -89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, -90, -90, -90, -90, -90, -90, -90, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, -88, -88, -88, -90, -90, -90, -90, -90, -90, -90, -90, -90, -90, -90, -88, -88, -88, -88, -88, -88, -88, -88, -88, 0, 0, 0, 0, 0, 0, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, -89, 0, -90, -90, -90, -90, -90, -90, -88, -88, -88, -90, -90, -90, -90, -90, -90, -90, -90, -89, -87, -87, -87, -87, -89, -89, -89, -89, -89, -89, -89, -89, -89, -88, -88, -88, -89, -89, -89, -89, -89, -89, -89, -89, -89, 0, 0, 
00:23:eb:3a:2b:1f, 161, sMobileNet, -84, -84, -83, -82, -82, -82, -82, -83, -83, -81, -81, -81, -81, -82, -82, -81, -84, -82, -83, -82, -83, -82, -82, -81, -81, -82, -82, -81, -82, -82, -83, -82, -82, -81, -80, -80, -82, -82, -82, -82, -81, -81, -83, -81, -83, -83, -83, -83, -82, -81, -81, -82, -82, -84, -84, -83, -82, -82, -82, -82, -84, -84, -84, -83, -83, -83, -83, -82, -82, -82, -82, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -84, -82, -82, -82, -82, -82, -82, -82, -82, -83, -83, -83, -83, -83, -82, -82, -82, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -82, -82, -82, -82, -82, -82, -82, -82, -83, -83, -83, -83, -82, -83, -83, -83, -83, -83, -84, -84, -84, -84, -84, -84, -84, -83, -82, -82, -83, -82, -82, -81, -84, -83, -82, -83, -83, -82, -82, -82, -84, -82, -82, -83, -83, -83, -82, -82, -82, -82, -83, -83, -82, -82, -83, -84, -83, -83, -84, -83, -85, -82, -83, -85, -83, -83, -83, -83, -83, -82, -83, -82, -83, -83, -82, -83, -83, -82, -85, -85, -84, 
74:d0:2b:5d:a8:ac, 165, CWBAP2, -80, -81, -81, -81, -80, -81, -83, -84, -84, -82, -81, -83, -80, -81, -82, -83, -83, -82, -82, -82, -80, -81, -79, -82, -82, -82, -82, -82, -81, -81, -80, -81, -81, -81, -80, -82, -81, -81, -81, -80, -81, -81, -81, -80, -81, -82, -82, -81, -81, -81, -81, -81, -78, -82, -82, -81, -81, -81, -82, -81, -81, -81, -80, -81, -81, -81, -82, -80, -81, -81, -82, -81, -82, -82, -82, -81, -81, -81, -81, -81, -81, -81, -80, -81, -81, -81, -82, -82, -83, -82, -82, -81, -81, -82, -82, -73, -81, -81, -81, -81, -81, -81, -81, -81, -82, -81, -81, -82, -80, -81, -81, -80, -81, -81, -81, -78, -81, -80, -80, -81, -80, -80, -81, -80, -80, -81, -80, -79, -82, -81, -80, -80, -83, -83, -81, -81, -78, -79, -82, -82, -80, -80, -82, -81, -80, -81, -81, -82, -80, -81, -81, -80, -85, -83, -82, -82, -82, -83, -83, -82, -82, -83, -83, -83, -82, -81, -82, -81, -82, -81, -84, -83, -83, -84, -83, -84, -82, -83, -83, -83, -85, -83, -79, -83, -83, -84, -85, -83, -82, -83, -86, -81, -82, -84, -83, -83, -82, -81, -80, -80, 
00:25:84:23:15:a1, 6, sMobileNet, -78, -78, -78, -78, -77, -77, -74, -74, -74, -74, -73, -73, -73, -73, -73, -73, -73, -73, -73, -81, -81, -81, -80, -80, -80, -80, -80, -80, -80, -80, -80, -81, -81, -81, -81, -81, -81, -81, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, -78, 0, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -73, -72, -72, -72, -72, -72, -72, -72, -72, -72, 0, 0, 0, -73, -73, -73, -73, -73, -73, -73, -73, -73, -72, -72, -72, -72, -72, -72, -72, -72, -72, 0, -72, -72, -72, -72, -72, -72, -72, -72, -72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72, -72, -71, -71, -71, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, -72, 0, -73, -73, -73, -73, -73, -73, -73, -73, -73, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -74, -72, -72, -72, -74, -74, -74, -75, -75, -76, -76, -76, -76, -73, -73, -73, -73, -73, -73, -73, -73, -73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
