00:23:eb:de:4b:2f	161	 sMobileNet	-60	-58	-58	-59	-60	-61	-58	-58	-60	-62	-60	-59	-57	-61	-58	-58	-59	-58	-58	-61	-59	-61	-60	-58	-62	-61	-61	-58	-58	-61	-64	-63	-64	-65	-65	-62	-64	-59	-60	-59	-66	-62	-64	-64	-60	-63	-61	-63	-64	-65	-65	-62	-64	-63	-65	-59	-59	-59	-61	-60	-62	-59	-60	-59	-60	-60	-56	-61	-60	-60	-62	-60	-63	-61	-61	-58	-58	-62	-59	-60	-63	-60	-67	-62	-60	-61	-60	-61	-63	-61	-62	-60	-58	-60	-59	-62	-60	-60	-60	-62	-62	-64	-62	-62	-61	-63	-63	-62	-58	-62	-60	-58	-59	-64	-63	-59	-61	-61	-61	-60	-59	-59	-59	-60	-60	-58	-58	-61	-62	-60	-58	-59	-59	-58	-60	-59	-61	-57	-58	-59	-58	-64	-65	-61	-66	-66	-62	-57	-59	-63	-60	-62	-60	-60	-59	-58	-61	-60	-61	-59	-61	-60	-61	-61	-61	-60	-61	-63	-62	-59	-63	-58	-62	-63	-61	-61	-61	-62	-61	-59	-59	-58	-60	-59	-60	-58	-62	-60	-59	-60	-60	-62	-59	-59	-59	-60	-60	-61	-58	-61	-62	-58	-60	-61	-60	-61	-60	-60	-60	-59	-61	-58	-58	-59	-59	-58	-61	-62	-60	-61	-60	-60	-58	-58	-61	-59	-60	-59	-60	-59	-59	-56	-59	-64	-60	-59	-60	-59	-60	-60	-59	-58	-60	-61	-60	-57	-60	-63	-60	-61	-60	-60	-61	-59	-60	-59	-59	-60	-59	-58	-60	-59	-60	-59	-59	-59	-59	-60	-58	-59	-61	-58	-59	-60	-60	-59	-60	-58	-60	-60	-60	-58	-58	-58	-60	-60	-59	-59	-58	-59	-58	-61	-61	-61	-60	-62	-61	-59	-61	-59																	 
00:25:84:23:1e:ef	64	 sMobileNet	-79	-77	-77	-78	-78	-78	-78	-78	-78	-76	-79	-79	-79	-80	-80	-80	-80	-80	-80	-80	-80	0	-78	-78	-78	-78	-78	-78	-77	-77	-76	-76	-76	-76	-76	-77	-77	-77	-77	-77	-77	-77	-77	-77	-78	-67	-79	-77	-77	-77	-78	-77	-77	-77	-77	-77	-78	-80	-79	-79	-79	-79	-82	-81	-81	-81	-79	-79	-79	-79	-79	-79	-77	-78	-78	-75	-75	-75	-76	-76	-78	-78	-78	-78	-78	-78	-78	-78	-76	-76	-76	-80	-79	-80	-80	-79	-79	-79	-80	-80	-80	-80	-67	-67	-79	-76	-76	-76	-65	-77	-77	-79	-79	-79	-77	-82	-76	-76	-65	-77	-77	-68	-76	-78	-78	-78	-78	-75	-78	-78	-78	-66	-66	-78	-78	-78	-78	-78	-78	-77	-76	-76	-76	-79	-79	-80	-80	-76	-79	-79	-80	-80	-81	-81	-81	-81	-81	-81	-81	-81	0	-79	-76	-76	-76	-81	-80	-80	-79	-79	-79	-77	-79	-81	-81	-81	-79	-80	-80	-80	-80	-80	-80	-80	-79	-81	-81	-81	-81	-81	-80	-80	-81	-81	-81	-81	-78	-78	-79	-76	-81	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-76	-80	-80	-80	-80	-80	-80	-80	-80	0	0	0	0	0	-79	-79	-76	-79	-79	-79	-79	-79	0	0	0	-79	-76	-76	-76	-76	-76	-76	-76	-76	0	0	0	-79	-79	-79	-79	-79	-79	-79	-79	-70	-83	-83	-83	-83	-83	-83	-83	-83	0	0	0	0	-70	-83	-83	-83	-83	-83	-81	-81	-81	-81	-81	-81	-81	-81	0	0	0	0	0	0	0	0	-77	-67	-80	-80	-80	-80	-78	-78	-78																	 
00:23:eb:de:4b:20	6	 sMobileNet	-45	-45	-45	-46	-31	-31	-44	-31	-31	-31	-45	-45	-45	-32	-32	-45	-31	-31	-31	-43	-43	-43	-47	-32	-32	-45	-32	-32	-32	-44	-44	-44	-46	-33	-33	-49	-32	-32	-32	-48	-48	-48	-49	-34	-34	-34	-50	-50	-50	-50	-34	-34	-48	-36	-36	-36	-31	-31	-31	-44	-34	-34	-45	-33	-33	-33	-42	-42	-42	-47	-34	-34	-48	-32	-32	-44	-32	-32	-32	-43	-31	-31	-45	-38	-38	-45	-33	-33	-33	-47	-34	-34	-46	-33	-33	-33	-47	-33	-33	-44	-36	-36	-36	-49	-49	-49	-47	-34	-34	-45	-34	-34	-50	-34	-34	-34	-45	-45	-45	-44	-33	-33	-44	-33	-33	-33	-46	-46	-46	-48	-32	-32	-47	-32	-32	-46	-45	-45	-45	-47	-31	-31	-51	-35	-35	-35	-50	-31	-31	-44	-32	-32	-43	-32	-32	-32	-45	-32	-32	-44	-32	-32	-44	-32	-32	-32	-45	-45	-45	-47	-33	-33	-46	-44	-44	-44	-44	-33	-33	-45	-33	-33	-33	-43	-43	-43	-44	-44	-44	-45	-32	-32	-44	-43	-43	-43	-46	-46	-34	-34	-34	-46	-46	-46	-45	-33	-33	-45	-33	-33	-33	-45	-45	-45	-44	-32	-32	-45	-35	-35	-52	-52	-52	-52	-48	-36	-36	-47	-33	-33	-45	-34	-34	-34	-45	-45	-45	-45	-32	-32	-45	-33	-33	-45	-44	-44	-44	-45	-33	-33	-44	-32	-32	-32	-32	-32	-32	-45	-45	-45	-45	-33	-33	-44	-33	-33	-33	-44	-44	-44	-45	-32	-32	-44	-32	-32	-43	-31	-31	-31	-46	-46	-46	-43	-32	-32	-44	-34	-34	-34	-44	-30	-30	-44	-32	-32	-42	-30	-30	-30																	 
00:25:84:23:1e:e0	11	 sMobileNet	-68	-65	-66	-65	-69	-66	-67	-69	-68	-71	-70	-70	-71	-55	-69	-68	-68	-71	-73	-66	-66	-68	-71	-66	-66	-65	-66	-66	-68	-69	-69	-68	-71	-71	-71	-71	-69	-70	-73	-73	-70	-70	-71	-69	-70	-71	-70	-69	-69	-68	-69	-68	-69	-70	-69	-75	-66	-67	-71	-75	-72	-68	-71	-71	-71	-69	-68	-69	-69	-75	-70	-72	-68	-72	-68	-62	-59	-74	-68	-71	-69	-70	-71	-59	-71	-67	-70	-70	-70	-70	-63	-63	-70	-59	-59	-59	-69	-58	-58	-68	-62	-62	-71	-70	-72	-72	-76	-74	-74	-69	-70	-71	-71	-70	-69	-69	-69	-69	-69	-70	-69	-70	-69	-52	-66	-67	-71	-70	-68	-68	-70	-69	-68	-67	-68	-71	-64	-68	-67	-70	-65	-67	-66	-60	-68	-66	-66	-68	-71	-72	-57	-57	-67	-68	-64	-66	-68	-68	-69	-65	-67	-70	-66	-69	-69	-67	-67	-73	-64	-69	-69	-69	-68	-64	-65	-66	-66	-71	-71	-68	-67	-67	-67	-69	-68	-68	-70	-66	-71	-74	-70	-68	-68	-62	-62	-63	-72	-65	-58	-66	-73	-68	-70	-70	-73	-61	-61	-73	-70	-67	-69	-64	-64	-71	-78	-72	-72	-66	-66	-66	-64	-69	-68	-70	-70	-68	-68	-67	-71	-72	-69	-64	-65	-65	-78	-74	-75	-71	-70	-69	-70	-73	-70	-67	-75	-68	-69	-71	-71	-69	-72	-71	-70	-71	-71	-72	-70	-71	-69	-71	-75	-63	-72	-69	-73	-73	-77	-76	-76	-76	-78	-70	-75	-72	-69	-69	-69	-75	-74	-74	-70	-71	-71	-73	-68	-70	-72	-71	-71	-71	-71	-70	-67	-69	-64	-73	-73	-65	-66	-69																	 
34:bd:c8:db:14:03	6	 Y5ZONE	0	-80	-80	-80	-80	-80	-80	-80	-80	-80	-79	-79	-79	-79	-79	-79	-79	-79	-81	-81	-78	-79	-79	-78	-78	-78	-78	-78	-78	-78	-78	-79	-78	-78	-78	-78	-79	-79	-79	-79	-79	-78	-78	-79	-79	-78	-78	-78	-79	-79	-79	-78	-78	-80	-80	-79	-79	-79	-79	-78	-80	-79	-78	-78	-77	-78	-78	-78	-79	-79	-79	-79	-79	-79	-78	-78	-79	-79	-79	-79	-79	-79	-79	-79	-78	-77	-77	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-78	-79	-79	-79	-79	-80	-80	-77	-65	-79	-79	-79	-79	-80	-79	-79	-79	-79	-80	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-80	-64	-79	-79	-79	-79	-79	-80	-80	-78	-78	-79	-79	-79	-79	-79	-79	-80	-77	-79	-79	-80	-80	-80	-80	-80	-80	-80	-80	-80	-79	-80	-80	-79	-78	-78	-78	-79	-79	-77	-77	-77	-77	-77	-80	-79	-78	-79	-79	-79	-79	-78	-78	-78	-80	-80	-78	-78	-77	-78	-78	-78	-79	-78	-78	-78	-79	-79	-79	-79	-78	-78	-79	-78	-78	-78	-79	-78	-78	-79	-79	-78	-78	-79	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-77	-77	-79	-78	-78	-78	-79	-79	-79	-79	-79	-78	-80	-80	-80	-80	-80	-80	-80	-80	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	-78	-78	-79	-79	-79	-79	-79	-79	-80	-79	-79	-79	-79	-78	-79	-79	-79	-78	-78	-77	-78	-77	-79	-77	-79	-78	-78	-78	-78	-80	-80	-80	-80	-80	-80	-80	-80	0	0	0																	 
34:bd:c8:db:14:05	6	 PCCW	0	-79	-79	-79	-80	-80	-80	-80	-80	-79	-79	-80	-78	-78	-79	-79	-78	-78	-78	-79	-79	-78	-79	-79	-78	-77	-77	-78	-79	-79	-79	-78	-79	-79	-79	-79	-78	-78	-79	-77	-78	-79	-79	-77	-78	-78	-78	-78	-78	-79	-78	-79	-64	-64	-80	-79	-79	-79	-79	-79	-78	-78	-78	-79	-78	-79	-78	-80	-79	-79	-79	-79	-78	-79	-79	-79	-79	-79	-79	-79	-79	-79	-64	-80	-78	-77	-77	-79	-79	-79	-79	-79	-80	-79	-80	-80	-78	-80	-79	-79	-78	-78	-80	-79	-83	-77	-79	-78	-79	-79	-79	-79	-79	-79	-80	-80	-79	-79	-79	-79	-79	-78	-80	-78	-80	-80	-80	-80	-80	-80	-79	-78	-80	-78	-79	-80	-80	-80	-80	-80	-79	-79	-79	-79	-79	-79	-79	-79	-80	-78	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-80	-79	-79	-79	-77	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-80	-78	-78	-78	-77	-80	-78	-79	-77	-77	-78	-78	-79	-79	-79	-79	-78	-77	-78	-78	-78	-79	-79	-78	-78	-78	-78	-77	-78	-77	-80	-78	-78	-77	-78	-78	-79	-78	-78	-78	-78	-78	-79	-78	-79	-78	-79	-79	-79	-79	-80	-78	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	0	0	0	0	0	0	0	0	-81	-78	-78	-79	-79	-79	-79	-80	-79	-79	-79	-79	-79	-79	-79	-78	-78	-79	-78	-78	-78	-78	-77	-78	-78	-78	-78	-78	-78	-80	-80	-80	-80	-80	-80	-80	-80	-78	-78	-78	-78																	 
34:bd:c8:db:14:00	6	 Universitie	0	0	0	0	0	0	0	0	0	0	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	0	0	0	0	0	0	0	0	0	0	-79	-79	0	0	-79	-79	-79	-79	-79	-79	0	0	0	-78	-78	-78	-78	0	0	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-78	-78	-78	-78	-78	-78	-78	-78	0	0	-78	-78	-78	-78	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-81	-81	-81	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	0	0	0	0	0	0	0	0	0	0	0	-79	-79	-79	-79	-79	-79	-79	-80	-80	-80	-80	-80	-80	-80	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-78	-78	-78	-79	-79	-79	-79	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-78	-78	-78	-79	-79	-79	-79	-64	-64	-64	-64	-64	-64	-77	-64	-64	-78	-78	-78	-78	-78	-79	-79	-79	-79	-79	-79	-77	-78	-78	-78	-80	-64	-64	-64	-64	-64	-64	-79	-79	-79	-77	-65	-65	-78	-65	-65	-65	-63	-63	-63	-78	-64	-64	-64	-64	-64	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-78	-78	-78	-80	-80	-80	-80	-80	-80	-80	-80	0	0	0	0	0	-79	-79	-79	-78	-64	-64	-64	-64	-64	-64	-64	-64	0	0	0	0	0	0	0	0	0	0	0	0																	 
34:bd:c8:db:14:01	6	 Alumni	0	0	0	0	0	0	0	0	0	0	-79	-79	-79	-79	-79	-79	-79	-79	0	0	-78	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-64	-64	-64	-64	-64	-64	-64	-64	0	-78	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	0	0	-79	-79	-79	0	-79	-79	-79	-79	0	0	0	0	0	-79	-64	-64	-64	-78	-78	-78	-80	-80	-80	-79	-79	-79	-79	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	-80	0	-79	-79	-79	0	0	0	-63	-82	-82	-82	-82	0	-82	-82	-79	-79	-79	-79	-79	-79	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	0	0	0	0	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	0	0	0	0	0	0	0	-81	-81	-81	-81	-81	-81	-81	0	0	-79	-63	-63	-79	-79	-79	-78	0	-78	-78	-80	-80	-80	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-77	-77	-77	-77	-78	-78	-64	-64	-64	-64	-64	-64	-64	-78	-78	-78	-64	-64	-64	-64	-64	-64	-78	-62	-62	-62	-62	-62	-77	-78	-78	-78	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-81	-81	-81	-81	-81	-81	-81	-81	0	0	0	0	0	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-77	-77	-77	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	0	0	0																	 
34:bd:c8:db:14:04	6	 eduroam	0	0	0	0	0	0	0	0	0	0	0	0	-78	-65	-65	-79	-79	-79	-79	-79	-79	-79	-79	0	0	0	0	0	0	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-64	-64	-64	-79	-79	-79	-79	-79	-79	-79	-65	-65	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-78	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-80	-80	-80	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-78	-78	-78	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-63	-63	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-78	-78	-78	-78	-78	-78	-78	-78	0	0	-79	-79	-79	-79	-79	-79	-79	-78	-63	-63	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	-79	0	0	0	-78	-78	0	-78	0	-78	-80	-80	-78	-78	-78	-78	-78	-78	0	0	-77	0	0	0	-64	-64	0	0	0	0	0	-78	0	0	-78	-77	-77	-77	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-78	-63	-63	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-78	-78	-78	-77	-77	-77	-78	-78	-78	-79	-79	-79	-79	-79	-79	-79	-79	0	0	0	0	0	0																	 
34:bd:c8:db:14:02	6	 sMobileNet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-78	-78	-78	-78	-62	-62	-62	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	-79	0	0	0	0	0	0	0	0	0	-64	-64	-64	-64	-64	-64	0	-80	-80	0	0	-80	-80	-79	-79	-79	-79	-79	-79	-79	-79	0	0	-79	-79	-79	-79	-79	-79	-79	-78	-78	-78	-78	-78	-78	-78	-78	0	0	-80	-80	-80	-80	-80	-80	-80	-79	-79	-79	-79	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	-80	0	0	-79	-79	-79	-81	0	-81	0	-81	-81	-81	0	0	0	0	0	0	-81	-81	-81	-81	-81	-81	-81	-81	0	0	0	0	0	0	0	0	0	0	0	0	0	-79	-79	-79	-79	-79	-79	-79	-79	0	0	-79	-79	-79	-79	-79	-79	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	-78	-78	-78	-79	-63	-63	-63	-63	-63	-63	-79	-79	-79	-80	-80	-80	-80	-80	-78	-78	-77	-77	-79	-79	-79	-79	-79	-79	-79	-64	-64	-64	-64	-64	-64	-78	-78	-78	-78	-64	-64	-64	-64	-64	-64	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	-78	0	0	0	0	0	-78	-78	-78	-78	-64	-64	-78	-79	-79	-79	-79	-79	-79	-79	-79	0	0	0	0	0	0	0	0																	 
